fid,soft,deficient,n_storey,fc_MPa,rho_long,r_k,T1_s,T_star_s,Gamma,m_star_kg,V_max_N,D_max_m,U_Y_m,F_Y_N,U_M_m,F_E_N,q,mu,Sa_yield_g,Sd_yield_m,Sae_star_g,ag_g,soil,status
42,True,False,6,34.21,0.0125153868123268,0.4648893984526811,0.7409,1.0503470804256136,1.2797518732761215,243748.33320639096,569379.8299118173,1.2990652348227816,0.048033141507522026,418964.01015915774,1.0150914891784597,1570285.3838563517,3.7480197481875,21.133148016552187,0.1752727447173128,0.048033141507522026,0.6569257085195147,0.4,C,ok
43,True,False,4,27.1,0.011137503548484,0.4930614778153998,0.584,0.8021120697664167,1.2542421607322478,172824.57703878602,476790.87337623385,0.8488949062439582,0.03375951935404686,358006.8953034452,0.6768189850581637,1457941.9006231439,4.072384972885503,20.04824114822687,0.21123467608249102,0.03375951935404686,0.8602289206306732,0.4,C,ok
44,True,False,8,31.91,0.0191171747553262,0.3825698350963611,0.934,1.320352008678336,1.2879745345511526,318642.9879375064,821200.19746699,1.7045625624393628,0.08379391484404475,604640.3454132418,1.3234443047691058,1632993.2954332668,2.7007679983994395,15.794038352692663,0.19349603995032208,0.08379391484404475,0.5225879125148494,0.4,C,ok
45,True,True,7,23.55,0.0091142329812269,0.5716993929090584,0.987,1.20985801117113,1.280861026969831,280695.95560863294,237061.653168262,0.39626844488256713,0.02321902178090912,175780.62395799553,0.3093766119342631,1569898.291932068,8.93100875729745,13.324274159931887,0.06385783214748667,0.02321902178090912,0.5703148581312341,0.4,C,ok
46,True,True,8,18.22,0.0106447903660882,0.5177993128512143,1.1059,1.4265339135899928,1.2884964668854482,314433.6030378452,278947.50494873174,0.42463376544463677,0.033912070597945654,206861.08347767827,0.32955757067076863,1491477.1966234269,7.210042466902033,9.718002022876561,0.06708557820106158,0.033912070597945654,0.4836898677463312,0.4,C,ok
47,True,True,7,21.22,0.0109896332486197,0.5410453132904598,0.9501,1.1859131763354376,1.2848772253510239,278029.4995091493,294949.62515962817,0.5420414355393763,0.027359983110469444,213530.86077306204,0.4218624354488753,1586381.9136007582,7.429286370398446,15.418958182304118,0.07831574746055275,0.027359983110469444,0.5818301151962513,0.4,C,ok
48,True,True,4,19.67,0.0134125908680372,0.3246143119333443,0.6817,0.8213621928514296,1.2302638683704568,182864.4894650407,310809.84824097663,0.4009543577401568,0.022248000377411647,238073.29393516554,0.32590923626103074,1506483.6953072837,6.3278147263235,14.648922632702117,0.13275797745803428,0.022248000377411647,0.8400678847958725,0.4,C,ok
49,True,True,3,17.0,0.0115213956609531,0.4373893474598183,0.6105,0.7166528235552232,1.2057636044970053,142315.66679983784,236479.35084439305,0.21728829733184613,0.01699978924059886,185968.05684754188,0.18020804121259723,1343735.1011335393,7.22562317374292,10.600604434684682,0.1332493090378828,0.01699978924059886,0.9628092952693579,0.4,C,ok
50,True,True,6,16.15,0.0081336095569871,0.5869007674420874,0.9053,1.1422390999169945,1.2799841042180393,241267.62579772953,224212.66806678154,0.34069129101350776,0.022842747611034997,166760.4597392161,0.2661683765374891,1429261.8264108244,8.570747697901153,11.652204939168834,0.0704812110275808,0.022842747611034997,0.6040766771599235,0.4,C,ok
51,True,True,8,23.83,0.0086254104660369,0.3779733105138265,1.0561,1.3430366815262083,1.288508162988275,318203.6528481888,247067.53571365032,0.7377107561759023,0.02546227557114855,177331.69399361912,0.5725309139408341,1603197.5951496223,9.040671518128676,22.48545745021989,0.056827758519291734,0.02546227557114855,0.513761097884455,0.4,C,ok
52,True,True,5,22.93,0.0125781885401415,0.3816931128825556,0.7609,0.9238114524228352,1.2564272228494815,216434.85740060918,306980.4445967293,0.4706248015229973,0.023017673987082266,230452.64333463743,0.37457386545291177,1585307.9253836502,6.879104975513968,16.27331526474509,0.10857599351336661,0.023017673987082266,0.7469056571991726,0.4,C,ok
53,True,True,7,21.75,0.0118286193088229,0.3029161231022214,1.0149,1.2457100841122153,1.271505092004096,293597.6091619311,292347.37879516167,0.52048498506206,0.02878569401850173,215008.18638094497,0.40934557662029664,1594796.5992411894,7.417376175693968,14.220451879923191,0.07467613043630267,0.02878569401850173,0.5539009507912467,0.4,C,ok
54,True,True,2,24.97,0.0122912571781891,0.4818119561090801,0.3663,0.43257105161184634,1.1665685798501915,99782.85880528743,284392.66733926965,0.3242700556130195,0.011094808306373327,233571.8913384624,0.2779691320459374,1125315.9081483027,4.817856727964066,25.053982400602646,0.2386953504293948,0.011094808306373327,1.15,0.4,C,ok
55,True,True,3,20.71,0.009205129887221,0.5388297335780022,0.52,0.6060815834962333,1.2273846586650208,136224.73969880684,232718.27010009723,0.36970892196555766,0.012367654558521735,181067.66228041166,0.3012168348003273,1520879.0073179456,8.399506505820051,24.355210874868643,0.13553898600326345,0.012367654558521735,1.138460594726664,0.4,C,ok
56,True,True,5,18.59,0.0128028909982626,0.4787209923903902,0.8113,0.9629603697968576,1.25898612057749,214093.16148130698,286174.7197058539,0.30086417158253215,0.02344626774159067,213707.3325342418,0.23897338236304577,1504402.8496350918,7.039547177886584,10.192384775131508,0.10178785268508406,0.02344626774159067,0.716540391112419,0.4,C,ok
57,True,True,5,22.11,0.0099682642773267,0.3538307301271558,0.8142,0.9782247971982357,1.2497069496750444,219936.33940158665,243160.8740228836,0.39791753176501155,0.02027100234445267,183930.8668929091,0.31840867322413485,1521346.3297897647,8.27129429382587,15.707593922274398,0.08527798887082487,0.02027100234445267,0.7053593427361998,0.4,C,ok
58,True,True,4,17.78,0.0101879728028763,0.4123792978722276,0.6409,0.7845825496409455,1.2510938363829347,174813.08168637118,274389.6356595047,0.46258166639193804,0.01841479310392563,206453.96133396006,0.36974178350148235,1507665.6863320423,7.302672598726461,20.078519558422922,0.12042831667681214,0.01841479310392563,0.8794485683065089,0.4,C,ok
59,True,True,2,19.16,0.0138777074312508,0.4412859942355827,0.4014,0.4855766177195512,1.159234412348411,101070.73119061855,291836.6350714482,0.27067827621878476,0.014094720366960634,238520.70095713306,0.2334974473975775,1139840.0789350513,4.778788903273865,16.566305773963258,0.2406467461268597,0.014094720366960634,1.15,0.4,C,ok
