fid,rid,level,soft,deficient,midr_sim,midr_pred,ds_true,ds_pred
1,TK-1999-0415_C0375_HNN,2,False,False,0.001673652984298,0.002093606011204069,0,0
1,TK-1999-0415_C0375_HNN,3,False,False,0.0027001461225634,0.003243589647421975,0,0
1,TK-1999-0415_C0375_HNN,4,False,False,0.0037184446754345,0.005580521376685033,0,1
1,TK-1999-0415_C0375_HNN,5,False,False,0.0052849542072574,0.008984611799405844,1,1
1,TK-1999-0415_C1058_HNE,0,False,False,0.0003219641079675,0.0003386120624416196,0,0
1,TK-1999-0415_C1058_HNE,1,False,False,0.0011262613647923,0.0013705426570121322,0,0
1,TK-1999-0415_C1058_HNE,2,False,False,0.0032488546847394,0.005508293885001396,0,1
1,TK-1999-0415_C1058_HNE,3,False,False,0.0083741574707758,0.01300806301709863,1,2
1,TK-1999-0415_C1058_HNE,4,False,False,0.0135810144139395,0.031036563044073873,2,2
1,TK-1999-0415_C1058_HNE,5,False,False,0.0644012300222712,0.050431310905075216,4,2
1,TK-1999-0415_C1059_HNN,0,False,False,0.000327434999538,0.00032220849597513405,0,0
1,TK-1999-0415_C1059_HNN,1,False,False,0.0009410510819912,0.0010111094604931072,0,0
1,TK-1999-0415_C1059_HNN,2,False,False,0.001868595735315,0.002470874215776979,0,0
1,TK-1999-0415_C1059_HNN,3,False,False,0.0037637161471636,0.004723754505821646,0,1
1,TK-1999-0415_C1059_HNN,4,False,False,0.0074116423466386,0.007581656080509523,1,1
1,TK-1999-0415_C1059_HNN,5,False,False,0.0136379926263359,0.01607356702735761,2,2
1,TK-1999-0415_C1060_HNE,0,False,False,0.0003253797585247,0.00036565015957123543,0,0
1,TK-1999-0415_C1060_HNE,1,False,False,0.0008679180394114,0.0012600971349534058,0,0
1,TK-1999-0415_C1060_HNE,2,False,False,0.0027622101783295,0.0035211266193223784,0,0
1,TK-1999-0415_C1060_HNE,3,False,False,0.004441273815463,0.007232365199999913,0,1
1,TK-1999-0415_C1060_HNE,4,False,False,0.0087214666727726,0.013149662434766814,1,1
1,TK-1999-0415_C1060_HNE,5,False,False,0.0202453454393824,0.023561076242080727,2,2
1,TK-1999-0415_C1061_HNE,0,False,False,0.0003187729101406,0.00033362745725917494,0,0
1,TK-1999-0415_C1061_HNE,1,False,False,0.0009489405158227,0.0010683896624192162,0,0
1,TK-1999-0415_C1061_HNE,2,False,False,0.0019401124325443,0.002300187499421876,0,0
1,TK-1999-0415_C1061_HNE,3,False,False,0.0041486936737715,0.004395031366648533,0,1
1,TK-1999-0415_C1061_HNE,4,False,False,0.0060103491570927,0.008369535557783815,1,1
1,TK-1999-0415_C1061_HNE,5,False,False,0.008730485895999,0.013455310774503938,1,2
1,TK-1999-0415_C1062_HNE,0,False,False,0.0003205518177484,0.00034105825792224355,0,0
1,TK-1999-0415_C1062_HNE,1,False,False,0.0009769159469538,0.0009874387672507605,0,0
1,TK-1999-0415_C1062_HNE,2,False,False,0.0019287732816341,0.0022195020007264124,0,0
1,TK-1999-0415_C1062_HNE,3,False,False,0.0028300015864599,0.003986930159231307,0,0
1,TK-1999-0415_C1062_HNE,4,False,False,0.0048394300066635,0.007884420201818796,0,1
1,TK-1999-0415_C1062_HNE,5,False,False,0.0111679934145138,0.015077905986338352,1,1
1,TK-1999-0415_D0531_HNN,0,False,False,0.0003238792394134,0.0003104285938009591,0,0
1,TK-1999-0415_D0531_HNN,1,False,False,0.0009357303710126,0.0009125197470545481,0,0
1,TK-1999-0415_D0531_HNN,2,False,False,0.0021694785832069,0.0015777670047001603,0,0
1,TK-1999-0415_D0531_HNN,3,False,False,0.004252601705648,0.002828427167601816,0,0
1,TK-1999-0415_D0531_HNN,4,False,False,0.008899997920318,0.004545898291579194,1,0
1,TK-1999-0415_D0531_HNN,5,False,False,0.0131622669381635,0.007913717044157591,2,1
1,TK-1999-0415_1401_HNE,0,False,False,0.0003246856273632,0.0003181152267956971,0,0
1,TK-1999-0415_1401_HNE,1,False,False,0.0010295070828875,0.001235708642965198,0,0
1,TK-1999-0415_1401_HNE,2,False,False,0.0028586481447371,0.003984588893857928,0,0
1,TK-1999-0415_1401_HNE,3,False,False,0.0065009094750611,0.007729729245312566,1,1
1,TK-1999-0415_1401_HNE,4,False,False,0.0169915772845193,0.019633289420143057,2,1
1,TK-1999-0415_1401_HNE,5,False,False,0.0484092670516038,0.036135230316384055,3,2
1,TK-1999-0415_1406_HNN,0,False,False,0.0003244858570938,0.0003284050856649568,0,0
1,TK-1999-0415_1406_HNN,1,False,False,0.0009084599246179,0.0010668593464338016,0,0
1,TK-1999-0415_1406_HNN,2,False,False,0.0015970332713092,0.0024633154079018544,0,0
1,TK-1999-0415_1406_HNN,3,False,False,0.0024374281458056,0.005589075340323575,0,1
1,TK-1999-0415_1406_HNN,4,False,False,0.0045842734481557,0.011081853579437112,0,1
1,TK-1999-0415_1406_HNN,5,False,False,0.0117891722512315,0.01710250649028354,1,2
1,TK-1999-0415_8101_HNE,0,False,False,0.0003155834284039,0.00030727577600392754,0,0
1,TK-1999-0415_8101_HNE,1,False,False,0.0009406006328874,0.001212726545913208,0,0
1,TK-1999-0415_8101_HNE,2,False,False,0.0020184637713086,0.0033178526588981236,0,0
1,TK-1999-0415_8101_HNE,3,False,False,0.0054447495724437,0.007108294200135339,1,1
1,TK-1999-0415_8101_HNE,4,False,False,0.0171744372276905,0.01614829461255818,2,2
1,TK-1999-0415_8101_HNE,5,False,False,0.0380604606546075,0.03990740388432219,3,2
